Identifier,project_url,general_description,objectives,beneficiaries,status,notes
P-BF-AAD-004,https://mapafrica.afdb.org/en/projects/46002-P-BF-AAD-004,,"The aim of the Participatory Management of Classified Forests for REDD+ Project (PGFC/REDD+) is to help increase the carbon sequestration capacity of Burkina Faso's classified forests and reduce poverty in rural areas. The PGFC/REDD+ is part of the Forest Investment Program (PIF) of the Climate Investment Funds (FIC), and its objectives fully integrate the aims of most of Burkina Faso's economic, social and environmental development policy documents, in particular: the Strategy for Accelerated Growth and Sustainable Development (SCADD); the Rural Development Strategy (SDR); the National Rural Sector Program (PNSR); Burkina Faso's National Forestry Policy; the National Policy for Securing Land Tenure in Rural Areas; the National Spatial Planning Policy ; the National Forest and Wildlife Resource Management Program (PRONAGREF), the National Action Program for Adaptation to Climate Variability and Change (PANA), the National Biodiversity Strategy and Action Plan, the National Natural Formation Management Program, the National Classified Forest Management Policy, the National Action Plan to Combat Desertification (PAN-LCD), Burkina's gender policy, the National Environmental Action Plan (PANE), the Ten-Year Action Plan (PDA) 2006-2015, the AfDB's Results-Based Country Strategy Paper (DSPAR), provincial and regional land-use planning schemes, regional and communal development plans (drawn up by local authorities), forest management plans/schemes, etc. The PGFC/REDD+ is also in line with the Programme National de Gestion des Terroirs (PNGT) and the Projet de Partenariat pour l'Amélioration de la Gestion des Ecosystèmes Naturels (PAGEN).",,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-BF-AAD-004
P-UG-AB0-003,https://mapafrica.afdb.org/en/projects/46002-P-UG-AB0-003,"The proposed Community Agricultural Infrastructure Improvement Programme – Project 3 (CAIIP-3) is a follow-on other existing production oriented programmes such as NAADS, the Farm Income Enhancement Programme, namely, CAIIP-1 and CAIIP-2. The overall CAIIP concept and design originated from the Bank?s review of Uganda?s agriculture and rural sector in 2005. The review recommended increased investment in community agricultural infrastructure within the framework of the PMA Pillars where major financing gaps had been identified. CAIIP-3 is thus the third instalment in a series of CAIIP projects geared toward enhancing development, market access, productivity and income growth across rural Uganda. The project consists of three components, namely: (i) Rural Infrastructure Improvement (ii) Community Mobilization and (iii) Project Management. Project operations are expected to commence in 2011 and run for 5 years. The total project cost, not including taxes and duties, is estimated at UA40 million, of which the Bank will finance 100%. With its implementation, CAIIP will have covered all regions in Uganda with the exception of Karamoja and some districts in the West Nile.","The overall sector goal of the project is to contribute to poverty reduction and economic growth in Uganda through enhanced commercialization of agriculture. Its specific objectives are to enhance farmers? access to markets, attract competitive prices and increase incomes through improvements in rural infrastructure and infrastructure management by well mobilized communities.","Le CAIIP-3 couvrira 68 sous-comtés répartis entre 31 districts dans les régions Ouest, Centre, Nord et Est de l’Ouganda. La population totale des 31 districts sélectionnés, estimée à 10 millions (51,4 % de femmes), en constitue les principaux bénéficiaires. Ce chiffre correspond à peu près à 1,9 million de ménages, soit environ 29,9 % de la population du pays.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-UG-AB0-003
P-ST-AAE-003,https://mapafrica.afdb.org/en/projects/46002-P-ST-AAE-003,"The Livestock Development Support Project, Phase II (LDSP II) falls under the strategic policy orientations of the agricultural sector in general and the animal husbandry sub-sector in particular. It falls within the context of the implementation of the PRSP which has identified agriculture, in the broad sense, as a key component for economic growth and production diversification. LDSP II stems from pillars of the PRSP relating to “encouragement of diversification of production, support to farmers in extension and input procurement and capacity building”. It aims at pursuing the actions initiated during the first phase. LDSP II will consolidate the achievements, notably in capacity building, livestock productivity and organization of actors in the sub-sector to enable them participate more actively in decisions designed to improve their living conditions. This second phase is also designed to cover all the actors in the sub-sector and relevant measures that will strengthen the contribution of the sub-sector to the national economy. It is for this reason that it received the full support of the communities and the authorities. LDSP II aims to organize the livestock productive base through the organization of operators. The project hinges on three components, namely: (i) capacity building; (ii) improvement of livestock productivity and processing and marketing of livestock products, and (iii) project management. The total project cost is UA 4.45 million, equivalent to US$ 6.38 million excluding taxes and customs duties. Its execution is planned for a 5 years period.","At the sectoral level, the project aims to strengthen food security in Sao Tome and Principle. The specific objective is to improve the productivity of stockbreeding.","The direct beneficiaries of the project are mainly the stockbreeders and the various operators in the livestock sub-sector, notably short-cycle livestock breeding (goats, pigs and poultry). Out of about 20,000 farmers estimated in 2002, there are about 12,000 breeders 50% of whom are women (10,900 in Sao Tome and 1,100 in Principe). The project will undertake activities in at least 75% of the 160 village communities and essentially aim at family farms. About 4,000 stockbreeders will benefit directly from the activities of the Project.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-ST-AAE-003
P-ZW-AAF-001,https://mapafrica.afdb.org/en/projects/46002-P-ZW-AAF-001,"The Lake Harvest Aquaculture project on Lake Kariba in Zimbabwe is the largest sustainable Tilapia fish farming in Africa. It creates jobs in Zimbabwe, particularly for women fish traders, and provides an important supply of affordable protein to the southern Africa region. This will be the AfDB Group’s first private sector investment in Zimbabwe, as part of its efforts to selectively re-engage in the country. Lake Harvest Aquaculture will produce 20,000 tons of fish annually. The company is primarily targeting African markets with Zimbabwe expected to absorb 37 percent of the production. It will export a further 50 percent to markets in the southern African region. Lake Harvest Aquaculture is considered by many experts to be a model for sustainable fish farming on the continent. The project is organized around three (3) main operations, namely: 1) breeding and rearing in fish ponds on land (Bakerton farm); 2) rearing in floating cages in the lake; and 3) a treatment plant Fish.",Key outcomes include: (i) job generation; (ii) increased intraregional trade; (iii) positive balance-of-payments impact; (iv) increased government revenues; (v) improved food security through greater availability of low-cost protein; and (vi) strong demonstration effect by promoting investment in a fragile state.,"The main beneficiaries of the project are the Zimbabwean Government, the people, especially the women fish traders.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-ZW-AAF-001
P-MG-AA0-029,https://mapafrica.afdb.org/en/projects/46002-P-MG-AA0-029,"The proposed project concerns the Project Preparation Facility (PPF) for Youth Entrepreneurship in Agriculture and Agro-Industry Program (Enable Youth). Enable Youth Madagascar is an autonomous investment project for promoting youth entrepreneurship in agriculture and agroindustry. It is part of the implementation of the Strategy for the Transformation of African Agriculture for the period 2016-2025, which is one of the flagship initiatives. The project's strategy focuses on supporting talent development, job creation and entrepreneurship development by and for young people. This initiative is expected to lead to the emergence of microenterprises in value-added agribusiness, decent jobs, enhancing food security and more economic opportunities for the community, especially for young people and women. The project also takes into account the main factors of fragility in Madagascar, particularly those related to food insecurity, youth unemployment, land insecurity, the mismatch between skills and jobs, access to finance, vulnerability natural disasters (droughts, floods and cyclones) and climate change, inadequate rural infrastructure, persistence of traditional farming methods and lack of economic opportunities. The first phase of the project, subject of this support, will be implemented over 3 years.","The programme aims to reduce youth unemployment through the transformation and modernization of Malagasy agriculture, with as a result, the strengthening of food and nutritional security. More specifically, it will promote the creation of income-generating jobs and generate income for young people in Agriculture and Agro-Industry through, in particular: (i) the creation of favorable conditions for the emergence of and the growth of successful agriculture and agri-food businesses by youth and (ii) the financing of young agripreneurs' businesses along the agricultural value chain.","The direct beneficiaries of the program will be mainly graduates of higher education. It's expected to train, over the 3 years of its first phase, 410 young agripreneurs, 50% of whom are women, and it is estimated that at least 350 young people trained will set up as entrepreneurs. The project will generate at least 1791 direct jobs. Other beneficiaries include service providers along selected value chains.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-MG-AA0-029
P-MZ-AAC-005,https://mapafrica.afdb.org/en/projects/46002-P-MZ-AAC-005,"The Massingir Dam Emergency Rehabilitation Project (MDERP) was designed to deal with an emergency situation in Mozambique. Indeed, the dam was in an unstable state, due to the low flow through the spillway while about 1 million people (or 5% of the total population of Mozambique) live in the vicinity of the dam, and their lives, Livelihoods and assets were threatened by a collapse in the event of floods. During its implementation, this project was evaluated in March 2009 following an emergency following the collapse of the Massingir Dam's bottom drain, which resulted in uncontrollable discharge of water. The Mozambican government then sought the support of the African Development Bank Group (AfDB) to remedy this situation. To this end, the AfDB reacted promptly by approving in July 2009 an emergency loan of UA 13.30 million (considered as an additional loan) for the repair of the bottom drain at the total estimated cost of UA 21.4 million, the balance to be borne by the Government of Mozambique. Initially, the project consisted of two main components: (i) component A: Rehabilitation of the Massingir Dam sump; ii) Component B: Project Management. With the additional loan, these components remained the same, while consultant services for the supervision of the works will be integrated into the project management component.","The objectives of the project are to: i) ensure the sustainability of the Massingir Dam by preventing its total collapse in the event of heavy rainfall; (ii) improve the target group's food production and living standards by sustainably improving the operational efficiency of the dam. In addition, the objective of the supplementary loan is to close the funding gap and provide sufficient resources for the repair of the bottom hole to achieve the project objectives.","The beneficiary of the supplementary loan is the Government of Mozambique. In addition, the beneficiaries of the project are some 16,000 farmers in the Xai-Xai and Chokwe districts, and the residents of the village of Massingir who should have access to water; 550 fishermen operating in the dam area; and the Procana Sugarcane Irrigation System, a private sector initiative that depends on the efficient operation of the dam.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-MZ-AAC-005
P-MZ-AAC-002,https://mapafrica.afdb.org/en/projects/46002-P-MZ-AAC-002,"The Massingir Dam Emergency Rehabilitation project (MDERP) seeks to support the rehabilitation of the bottom outlet structure of the Massingir Dam to ensure the safety and operational efficiency of the dam. It is of high economic importance to the Government of Mozambique. Firstly, it brings into the table the opportunity of fully rehabilitating the Massingir Dam by holistically reviewing the entire infrastructure especially those that predate the colonial era (which are now in bad state of disrepair). Secondly, the Project will help to address the potential environmental and ecological problems that could arise as result of the damages already existing on the Dam. Finally the need to ensure the safety of the dam all the year round is of critical concern to the Government in order to withstand the likely effects of floods. The Project will lead to development of the necessary civil and mechanical infrastructures that would assist in the maximization of the full benefits of the Massingir Dam. It will be implemented over a two year period (2009 - 2011) and the proposed works will comprise (i) Repair to the bottom outlet conduits, (ii) Repair to the existing bottom outlet steel liner, and (iii) Rehabilitation of the bottom outlet hydro-mechanical equipment. It is estimated to cost UA 21.44 million out of which the Bank will contribute UA 13.30 million (62%) and the Government 8.14 million (38%).",The Project objectives are to: (i) ensure sustainability of the Massingir Dam by preventing its total collapse in the event of heavy downpour; and (ii) improve food production and the living standards of the target group through sustainable improvement of the operational efficiency of the Dam. This would facilitate the productive capacity of farmers both small and medium scale to produce major crops downstream in Chokwe and Xai-Xai Districts (Gaza Province).,"The beneficiaries of the Project will be about 16,000 smallholder farmers located downstream in Xai-Xai and Chokwe Districts (Gaza Province), and people living in Massingir village for water supply; 550 fisher-men and women operating in the dam; and Procana Sugar Irrigation scheme which is a private sector initiative dependent on the efficient operation of the Dam.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-MZ-AAC-002
P-SN-AAG-001,https://mapafrica.afdb.org/en/projects/46002-P-SN-AAG-001,"The Rice Project of the Compagnie Agricole de Saint-Louis (CASL) in Senegal has been initiated to contribute to food self-sufficiency in Senegal. Its implementation will increase rice production and reduce food imports, which will have a positive impact on the balance of payments and job creation. The project should enable local farmers to have access to water through an irrigation network and receive technical support for developments. The project is divided into four operational components, namely: (i) development of 4,000 net hectares of irrigated rice in the Senegal River Delta to produce 56,000 tons per year of paddy rice; (ii) contracts with farmers for the production of a minimum of 9,000 tons per year of paddy rice; (iii) storage capacity of 30,000 tons of paddy rice; and (iv) production and marketing of 45,000 tons of white rice per year on the local market. In terms of infrastructure, within the context of this project, two separate sites will be developed in the Municipality of Diama comprising community amenities with total control of water including a channel network calibrated for 3,500 ha, a collector-drainage network and an electric pumping station for drainage water covering a basin of 4,250 ha, power lines and tracks; an irrigated area of 2,024.5 ha for rice farming operated under local authorities control comprising plots, a network of irrigation canals and field drainage, and farm buildings; an agro-industrial site including a dryer, paddy rice storage silos and 2 milling lines with a capacity of 8t / h.",The project’s objective is to promote food security in Senegal by producing local white rice for the local market.,The project's direct beneficiaries are the agricultural producers of the Municipality of Diama.,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-SN-AAG-001
P-SN-A00-008,https://mapafrica.afdb.org/en/projects/46002-P-SN-A00-008,"The Preparation Mechanism for the Rice Value Chain Development Project in the Valley (PDCV Riz) was initiated by the Senegalese Government in order to facilitate the start-up of the PDCV Riz and improve its quality at entry. Indeed, the PDCV aims to contribute to the consolidation of the results obtained by the Programme d'Accélération de la Cadence de l'Agriculture Sénégalaise (PRACAS), namely self-sufficiency in rice by 2017. In addition, the present preparation mechanism should enable the conduct of the necessary preliminary studies to ensure the proper implementation and achievement of the project's objectives.","The objectives of the project are as follows: (i) updating the detailed preliminary project studies and tender documents carried out by the Millennium Challenge Account (MCA) in 2012 on 10,000 ha, covering 9,500 ha, and prioritising the various blocks by multi-criteria analysis over time; (ii) analysing the environmental and social aspects; (iii) drawing up the conditions for the exploitation and development of the land. (i) the analysis of the environmental and social aspects; (ii) the elaboration of the conditions of exploitation and development of the developed land by the small producers and the opportunity of partnerships with the private sector for the production and processing of rice; (iv) elaboration of modalities and tools for contractualisation between producers and private promoters, on the one hand, and between the latter and other actors in the rice value chain, on the other hand; (v) analysis of the rice marketing environment; (vi) elaboration of the project preparation document; and (vii) support to the institutional set-up and implementation of the project management tools.",The main beneficiary of the project is the Government of the Republic of Senegal.,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-SN-A00-008
P-SN-A00-004,https://mapafrica.afdb.org/en/projects/46002-P-SN-A00-004,"The project concerns the rehabilitation of wet ecosystems adjacent to the lake, while making possible the other socio-economic functions of the lake. It provides, as a priority, to establish infrastructures facilitating the storage of more water in the lake to meet the various needs including the revitalization of wet ecosystems, irrigation, the supply of drinking water to the benefit populations of several cities of the country including Dakar, the development of the fishing, the piscicultural, breeding activities etc. The availability of water in the lake and associated waterways will revive wetland ecosystems and spur sustainable economic initiatives that create jobs and eradicate poverty. The presence of water close to land suitable for agriculture is already attracting the interest of private investors who, alongside small-scale producers, are considering making the area another pole of development of export crops and using techniques that respect the environment.","The project aims to restore the ecosystems of Lake Guiers in order to guarantee in a sustainable way the performance of production systems and their resilience vis-à-vis climate change. The specific objectives of the project are: i) improvement of storage conditions and water quality in the lake in order to satisfy all uses (drinking water, agriculture, fishing, fish farming, watering animals, etc.); ii) the re-flooding of the Ndiael Special Wildlife Sanctuary (RSAN) to revive a Ramsar wetland World Heritage site now listed on the Montreux Record as endangered sites.","Project beneficiaries are estimated at over 200,000 persons in the project area and 3 million inhabitants of Dakar and other inland towns and villages who rely on the water supply network connected to the lake.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-SN-A00-004
P-GN-AA0-018,https://mapafrica.afdb.org/en/projects/46002-P-GN-AA0-018,"This project consists of an assistance that is designed to support the Government of the Republic of Guinea in the preparation of the project to support the transformation of the Guinean agriculture, within the entrepreneurship incentive program for young people (PATAG-EAJ). The project provides assistance in the elaboration of the transformation program of the Guinean agriculture, and in the process of formulating a pilot operation for the employment of young people in the agricultural sector. The support program for transformation of the Guinean Agriculture (PATAG) will fit within the National Plan of Agricultural Investment and Food Security 's strategic policies (PNIASA) currently being reviewed, but will develop, in a particular way, the specific actions to make an effective contribution to the transformation of agriculture in involving the private sector. The pilot operation for the employment of young people in the agricultural sector aims to promote the integration of young people in the agricultural sector in a broad sense (18-40 years-old). This operation has been designed to promote the modernization and transformation of the sector, through the different chains of values, by promoting employment among young people, and by limiting rural exodus.","The main objective of the project is to operationalize, through a concerted approach, the agricultural transformation policy of the country to promote inclusive and strong economic growth leading to job creation.","The main beneficiaries are the Government of the Republic of Guinea, the Department of Agriculture, the Ministry of Technical Education and Vocational Training, Employment and Labor, companies in the agricultural sector, the populations in general and the youth (18-40 years-old) in particular.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-GN-AA0-018
P-ZM-AA0-025,https://mapafrica.afdb.org/en/projects/46002-P-ZM-AA0-025,"The proposed project is part of the Farm Blocks Development Plan produced by the Government of the Republic of Zambia (GoZ), which includes 11 Farm Blocks earmarked for development totalling a gross area of 895,000 hectares (ha). The GoZ has already piloted the Farm Block Concept at 2 Farm Blocks namely (i) Nansanga (Central Province) and (ii) Luena (Luapula Province) which are at advanced stages of development. In 2012, the GoZ formally approached the Bank to finance the development of backbone infrastructure at Luswishi Farm Block in Lufwanyama District, Copperbelt Province, which has a gross area of 100,000 ha and is largely forested with idle virgin land. This Feasibility Study of the Luswishi Farm Block Development Project would include agronomic studies, technical assessments including detailed designs and tender documents, Private Sector analysis, commercial/marketing analysis, commodity value chain analysis, institutional and management assessment, financial and economic analysis, land demarcation, cadastral surveys, beaconing, and Environmental and Social Impact Assessment (ESIA). The main procurement under this support shall be consultancy services for the conduct of a feasibility and detailed design study.","The objective of the project is to contribute to poverty reduction, improved household incomes through provision of back-bone infrastructure that enhances commercialisation of agricultural lands. The principle objective of the study is therefore carry out a detailed feasibility and environmental study, with detailed technical and institutional designs, bill of quantities and tender documents that will facilitate the preparation of the Luswishi Farm Block Development Project.",The project beneficiary are the Government of the Republic of Zambia and Farmers of the Copperbelt Province.,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-ZM-AA0-025
P-TD-AB0-002,https://mapafrica.afdb.org/en/projects/46002-P-TD-AB0-002,"The Rural, Pastoral and Transhumance Infrastructure Project (PIRPT) is a reponse to increasingly bloody conflicts among users of pastoral resources because of the owing to drought and the growing pressure on land. Added to this, there is a shortage of pastoral water points in some grazing areas. The project aims to enhance the living conditions of the transhumant and sedentary population of the target area by improving access to pastoral infrastructure and resources(wells, ponds, transhumance corridors, livestock schemes), basic social services, including animal health, education for nomadic children, maternal and child health (nomadic school, clinic, storeroom, animal product processing plant, animal vaccination pen, water point). The PIRPT will target the poor rural population made up of transhumant livestock herders and sedentary agro-pastoralists, who account for almost 80% of the total population of the target area, or nearly 6.7 million inhabitants,of whom 52% women. The project will result in improved living conditions for this population through better access to pastoral facilities and resources, and to basic social services. The project will hinge on the following three components: (i) pastoral facilities and joint management of pastoral resources; (ii) strengthening the capacity of transhumant livestock stakeholders; and (iii) coordinating project management.",The project goal is to contribute to improved living conditions among the transhumant and sedentary population.,"The project will directly affect the transhumant population consisting of 387,000 inhabitants, or about 55, 400 households. It will help to improve access to animal health services, livestock watering and grazing land, nomadic children’s access to education, access to maternal and child health services, methods of conservation and processing of livestock products, particularly milk, which is a primary source of herder household income. The activities to support the direct beneficiaries of the infrastructure in terms of consultation and training will strengthen their organisational and technical capacity for proper handling of issues affecting them.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-TD-AB0-002
P-TG-A00-005,https://mapafrica.afdb.org/en/projects/46002-P-TG-A00-005,"The emergency assistance project for the fall armyworm was designed to provide emergency assistance to affected farmers. It’s a direct and immediate response to the emergency following a natural disaster caused by the invasion of a pest on the main food crops in Togo. This intervention aims to combat the invasion of the fall armyworm and reduce losses of corn and rice production. It’s indeed a support to the Government's efforts to strengthen agricultural resilience through the implementation of three (3) components that will lead to better coordination, establishment of a mechanism improved community-based surveillance, development of CLA integrated management action plan, restoration of livelihoods of vulnerable households and support for national production of biological and botanical pesticides by companies / cooperatives local. The three components of the project are: (i) strengthening the technical and equipment capacities of the Plant Protection Directorate; (ii) sustainable management and integrated pest management (IPM) against CLA and strengthening the livelihoods of vulnerable small producers; and (iii) Coordination and Communication.","The main objective of this operation is to help fight the fall armyworm invasion and reduce losses of corn, rice and market gardening production, in order to strengthen the food and nutritional security of the populations of Togo.",The main beneficiaries of the project are the affected producers and vulnerable households.,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-TG-A00-005
P-MA-AA0-003,https://mapafrica.afdb.org/en/projects/46002-P-MA-AA0-003,"The Inclusive and Sustainable Development Support Programme for Agricultural Sectors (PADIDFA) is intended to sustain and consolidate the achievements of Green Morocco Plan (PMV), and launch its acceleration phase (2017-2020). It is a EUR 200 million sector budget support operation in two tranches to be executed over the 2018-2019 period to help achieve the objectives of PMV. The programme helps the authorities with the formulation and implementation of inter-sector strategic reforms to strengthen the social and environmental dimensions of the PMV and promote inclusion, sustainability and competitiveness in Morocco’s agricultural sector. Its design is informed by lessons from Phases I and II of PAPMV (cf. 4.4.3), the principles of the Paris Declaration as well as good practice principles for the application of conditionality. PADIDFA supports a series of medium- and short-term strategic reforms to improve the quality of life for the people through quality jobs and self-employment in rural areas, and the protection of such jobs through sustainable natural resource management. It is an important institutional lever for creating synergies between strategies governing agriculture, the environment, water, energy and employment.","The programme objective is to help boost agricultural sector competitiveness to ensure inclusive and sustainable economic growth through the promotion of value chains, job creation, improvement of the business climate and sustainable natural resource management. Hence, PADIDFA will help to: (i) support the PMV ecosystem and amplify its impact; (ii) promote the inclusion of vulnerable stakeholders (especially the youth and women); and (iii) build agricultural sector resilience.","PADIDFA will benefit the Moroccan population in general, and the youth and women in the rural areas in particular. It will specifically benefit: (i) local councils; (ii) inter-professional associations and professional organizations; (iii) agricultural VSMEs and organizations (crop sectors, waste management, etc.); (iii) the private sector (training, research, private agricultural councils, etc.); (iv) project proponents and young agricultural and rural entrepreneurs due to improvement of the business environment; and (v) women's associations and rural women (access to value chains, land tenure security, local services, etc.).",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-MA-AA0-003
P-BF-AAG-001,https://mapafrica.afdb.org/en/projects/46002-P-BF-AAG-001,"The Project to Support the Integrated Development of the Shea Sector in Burkina Faso (PADIFK) was designed to promote the implementation of Burkina Faso's strategy for the sustainable development of the shea sector. It aims to organize, structure into umbrella organizations and support the development of approximately 100 organizations along the shea value chain. The cost of financing the National Strategy for the Sustainable Development of the Shea Sector amounts to CFAF 8.94 billion. Indeed, the shea butter sector plays an important role in the country's economy. It generated more than CFAF 30 billion in export revenue in 2014. Burkina's shea kernel production potential is 850,000 tonnes per year. The shea sector is the 4th export product after gold, cotton and the livestock/meat sector. The project includes the following components: strengthening the skills and organisation of actors according to the links in the value chain and networking of these actors; improving the access of actors to credit for the collection and processing of shea kernels; improving product quality in the value chain and market access.",This project has the following main objectives: (i) improving the business climate by establishing frameworks for public-private dialogue and building the capacity of shea sector organizations; (ii) building the capacity of about 480 people operating in the shea sector and about 50 staff from various ministries and other institutions; (iii) economic empowerment of women; and (iv) job creation.,"The main direct beneficiaries of the project are the Shea Sector Table (TFK), professional organisations in the three links of the value chain (collection/production, processing, marketing and export), groups of shea kernel producers and collectors representing more than 90% of the actors in the sector, small and medium-sized processing companies (SMEs), traders and exporters in the shea sector.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-BF-AAG-001
P-MR-AAC-009,https://mapafrica.afdb.org/en/projects/46002-P-MR-AAC-009,Le Mécanisme de préparation (PPF) des études techniques du Pahabo II pour la Mauritanie a été approuvé en mai 2015. Le projet a été implémenté par la Société Nationale pour le Développement Rural et a pris fin en décembre 2019.,,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-MR-AAC-009
P-DZ-AA0-002,https://mapafrica.afdb.org/en/projects/46002-P-DZ-AA0-002,"The project consists of a technical support to help and strengthen the institutional capacities of all actors involved in the implementation of the Program for the Creation of New farms and Livestock. This project will target the training and the installation of young agricultural and rural entrepreneurs (JEA & JER) in a perspective to overcome unemployment among young people, particularly young graduates.",This project aims to achieve the following main objectives: (1) the identification of training needs in connection with the program for the creation of new farms and livestock; (ii) the development of a training program and; (iii) the technical support for the implementation of the training program.,The main beneficiaries of the project are the Government of Algeria and young graduates.,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-DZ-AA0-002
P-ML-AA0-019,https://mapafrica.afdb.org/en/projects/46002-P-ML-AA0-019,"This program has been designed in response to Mali’s food crisis.  It is the first phase of the Irrigation Development Program in Bani Basin and Sélingué (PDI-BS). This program covers the development and enhancement of 32 545 ha of rice land including 24,540 ha in controlled submersion, 915 ha of double-cropped rice under full water control, 6 820 ha of bourgou fields for livestock farming, 554 ha of vegetable crops and 270 ha of fish ponds. The PDI-BS will consolidate actions undertaken under the Middle Bani Plains Development Program for the development and the Maninkoura Perimeter Development Project . Its implementation should also contribute to increase the level of mobilization of Bani’s water resources by creating of a reservoir of 300 million m3.",The objective of the Bani Basin and Sélingué Irrigation Development Program(PDI-BS) - Phase I aims to  contribute to food security and poverty reduction in Mali.,"The program is expected to directly affect nearly 12,000 farms, or about 130,000 people, most of whom are women. In total, an additional annual production of 52,000 tonnes of paddy rice, 3,620 tonnes of vegetables, 588 tonnes of beef, 6 million liters of milk and 880 tonnes is expected at the end of the first phase.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-ML-AA0-019
P-Z1-AAZ-048,https://mapafrica.afdb.org/en/projects/46002-P-Z1-AAZ-048,"The proposed Soft Commodity Finance Facility (SCFF) of USD 20 million to Meridian group is to finance Meridian’s commodity exports such as maize, groundnuts, pigeon peas, soya, sesame and beans. Established in 1970 to assist the small scale farmer, Meridian group is one of the largest commodity aggregators in Southern Africa. The group plays a significant role in the promotion of agribusiness in five Southern Africa countries and its operations are in line with almost all of the Bank’s “high fives”. The proposed SCFF represents an opportunity to support a well-established and professionally run commodities company in Southern Africa. This will provide Meridian with affordable short/medium term financing required to unlock growth. Meridian will use the funds to purchase the soft commodities directly from small scale farmers in Malawi, Mozambique and Zimbabwe. This SCFF will not only provide inexpensive funding to Meridian but also provide FX liquidity support to the same markets. The SCFF also provides the Bank with an opportunity to indirectly intervene in two low income countries and a fragile state, Malawi, Mozambique and Zimbabwe respectively. Furthermore, it provides the Bank with an opportunity to intervene in a sector characterized by extremely low investments due to perceived risk.","The objective of this Soft Commodity Finance Facility is to provide pre & postshipment finance along various stages of Meridian’s soft commodity value chain operations in Malawi, Mozambique and Zimbabwe. Specifically, the facility will be used for the following purposes: i) Provide funding to purchase farming inputs (mainly fertilizer) to be supplied to farmers so as to ensure consistency and quality of the commodities being supplied to Meridian; ii) Purchase of soft commodities from over 10,000 farmers in Malawi, Zimbabwe and Mozambique; and iii) Upon purchase of the soft commodities, provide working capital to Meridian to enable the company engage in basic processing of the soft commodities prior to export.","The SCFF will provide broad empowerment benefits directly impacting at least 10,000 small scale farmers in the respective 3 RMCs. This expected to increase the number of small scale farmers from 10,000 farmers to 12,000 by 2019.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-Z1-AAZ-048
P-Z1-AAG-012,https://mapafrica.afdb.org/en/projects/46002-P-Z1-AAG-012,"The project involves the grant of an Agricultural Commodities Financing Facility, up to US $ 100 million and for a period of 2 years (renewable for another 2 years), to Export Trading Company Group Mauritius . Founded in 1967, ETG has over time become a global player in the management of the supply chain and the processing of agricultural products. ETG is active in the marketing of more than 25 raw materials in 26 African countries and is currently the largest trader of sesame seeds and cashew nuts in the world, the largest fertilizer importer in Africa and one of the largest maize traders on the continent. The proposed facility represents an opportunity to support a well-established and professionally run commodities company in sub-Saharan Africa. By investing in this company, the Bank will play a countercyclical role, complementing existing public and private sector initiatives to support positive change in the sector. This facility will benefit the African subsidiaries of the Group, particularly those operating in South Africa, Benin, Burkina Faso, Burundi, Côte d'Ivoire, Ethiopia, Kenya, Malawi, Mali, Mozambique, Nigeria, Uganda, Rwanda, Tanzania, Togo, Zambia and Zimbabwe. The bulk of the facility (90%) will finance the purchase of crops from African farmers, including pulses, cashew nuts, maize, sesame seeds, oilseeds, coffee and cotton. The remaining 10% will be used to import fertilizer.",The main objective of this Soft Commodity Finance Facility (SCFF) is to support ETC Group pre and post shipment working capital requirements for its end to end agricultural value chain operations in Africa.,"The facility will not only benefit one of Africa’s oldest and largest aggregators but also allow ETC to compete on a level field with international aggregators who are able to raise inexpensive funding from international markets such as Cargill. In addition, the SCFF will provide broad empowerment benefits directly impacting at least 300,000 small scale farmers in the respective 13 RMCs.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-Z1-AAG-012
